School,Nickname,City,State,Conference,Type
Abilene Christian University,Wildcats,Abilene,Texas,Southland Conference,Private/Churches of Christ
University of Akron,Zips,Akron,Ohio,Mid-American Conference,State
University of Alabama,Crimson Tide,Tuscaloosa,Alabama,Southeastern Conference,State
Alabama Agricultural and Mechanical University,Bulldogs and Lady Bulldogs,Huntsville,Alabama,Southwestern Athletic Conference,State
University of Alabama at Birmingham,Blazers,Birmingham,Alabama,Conference USA,State
Alabama State University,Hornets and Lady Hornets,Montgomery,Alabama,Southwestern Athletic Conference,State
"University at Albany, SUNY",Great Danes,Albany,New York,America East Conference,State
Alcorn State University,Braves and Lady Braves,Lorman,Mississippi,Southwestern Athletic Conference,State
American University,Eagles,Washington,District of Columbia,Patriot League,Private/Methodist
Appalachian State University,Mountaineers,Boone,North Carolina,Sun Belt Conference,State
University of Arizona,Wildcats,Tucson,Arizona,Pac-12 Conference,State
Arizona State University,Sun Devils,Tempe,Arizona,Pac-12 Conference,State
University of Arkansas,Razorbacks and Razorback women[A 1],Fayetteville,Arkansas,Southeastern Conference,State
University of Arkansas at Little Rock[A 2],Trojans,Little Rock,Arkansas,Sun Belt Conference,State
University of Arkansas at Pine Bluff,Golden Lions and Golden Lady Lions,Pine Bluff,Arkansas,Southwestern Athletic Conference,State
Arkansas State University,Red Wolves,Jonesboro,Arkansas,Sun Belt Conference,State
Auburn University,Tigers,Auburn,Alabama,Southeastern Conference,State
Austin Peay State University,Governors and Lady Govs,Clarksville,Tennessee,Ohio Valley Conference,State
Ball State University,Cardinals,Muncie,Indiana,Mid-American Conference,State
Baylor University,Bears and Lady Bears,Waco,Texas,Big 12 Conference,Private/Baptist
Belmont University,Bruins,Nashville,Tennessee,Ohio Valley Conference,Private/Christian
Bethune-Cookman University,Wildcats,Daytona Beach,Florida,Mid-Eastern Athletic Conference,Private/Methodist
Binghamton University,Bearcats,Vestal,New York,America East Conference,State
Boise State University,Broncos,Boise,Idaho,Mountain West Conference,State
Boston College,Eagles,Chestnut Hill,Massachusetts,Atlantic Coast Conference,Private/Catholic
Boston University,Terriers,Boston,Massachusetts,Patriot League,Private/Non-sectarian
Bowling Green State University,Falcons,Bowling Green,Ohio,Mid-American Conference,State
Bradley University,Braves,Peoria,Illinois,Missouri Valley Conference,Private/Non-Sectarian
Brigham Young University,Cougars,Provo,Utah,West Coast Conference,Private/Latter-Day Saints
Brown University,Bears,Providence,Rhode Island,Ivy League,Private/Non-Sectarian
Bryant University,Bulldogs,Smithfield,Rhode Island,Northeast Conference,Private/Non-Sectarian
Bucknell University,Bison,Lewisburg,Pennsylvania,Patriot League,Private/Non-Sectarian
University at Buffalo,Bulls,Buffalo,New York,Mid-American Conference,State
Butler University,Bulldogs,Indianapolis,Indiana,Big East Conference[a],Private/Non-Sectarian
"University of California, Berkeley",Golden Bears,Berkeley,California,Pac-12 Conference,State
"University of California, Davis",Aggies,Davis,California,Big West Conference[b],State
"University of California, Irvine",Anteaters,Irvine,California,Big West Conference,State
